Intervening at layer 0: inputs([(0, 12, 0)]) = avg_activations[(0, 0, 8)]
Intervening at layer 0: inputs([(0, 12, 1)]) = avg_activations[(0, 1, 8)]
Intervening at layer 0: inputs([(0, 12, 2)]) = avg_activations[(0, 2, 8)]
Intervening at layer 0: inputs([(0, 12, 3)]) = avg_activations[(0, 3, 8)]
Intervening at layer 0: inputs([(0, 12, 4)]) = avg_activations[(0, 4, 8)]
Intervening at layer 0: inputs([(0, 12, 5)]) = avg_activations[(0, 5, 8)]
Intervening at layer 0: inputs([(0, 12, 6)]) = avg_activations[(0, 6, 8)]
Intervening at layer 0: inputs([(0, 12, 7)]) = avg_activations[(0, 7, 8)]
Intervening at layer 0: inputs([(0, 12, 8)]) = avg_activations[(0, 8, 8)]
Intervening at layer 0: inputs([(0, 12, 9)]) = avg_activations[(0, 9, 8)]
Intervening at layer 0: inputs([(0, 12, 10)]) = avg_activations[(0, 10, 8)]
Intervening at layer 0: inputs([(0, 12, 11)]) = avg_activations[(0, 11, 8)]
Intervening at layer 0: inputs([(0, 12, 12)]) = avg_activations[(0, 12, 8)]
Intervening at layer 0: inputs([(0, 12, 13)]) = avg_activations[(0, 13, 8)]
Intervening at layer 0: inputs([(0, 12, 14)]) = avg_activations[(0, 14, 8)]
Intervening at layer 0: inputs([(0, 12, 15)]) = avg_activations[(0, 15, 8)]
Intervening at layer 0: inputs([(0, 12, 16)]) = avg_activations[(0, 16, 8)]
Intervening at layer 0: inputs([(0, 12, 17)]) = avg_activations[(0, 17, 8)]
Intervening at layer 0: inputs([(0, 12, 18)]) = avg_activations[(0, 18, 8)]
Intervening at layer 0: inputs([(0, 12, 19)]) = avg_activations[(0, 19, 8)]
Intervening at layer 0: inputs([(0, 12, 20)]) = avg_activations[(0, 20, 8)]
Intervening at layer 0: inputs([(0, 12, 21)]) = avg_activations[(0, 21, 8)]
Intervening at layer 0: inputs([(0, 12, 22)]) = avg_activations[(0, 22, 8)]
Intervening at layer 0: inputs([(0, 12, 23)]) = avg_activations[(0, 23, 8)]
Intervening at layer 0: inputs([(0, 12, 24)]) = avg_activations[(0, 24, 8)]
Intervening at layer 0: inputs([(0, 12, 25)]) = avg_activations[(0, 25, 8)]
Intervening at layer 0: inputs([(0, 12, 26)]) = avg_activations[(0, 26, 8)]
Intervening at layer 0: inputs([(0, 12, 27)]) = avg_activations[(0, 27, 8)]
Intervening at layer 0: inputs([(0, 12, 28)]) = avg_activations[(0, 28, 8)]
Intervening at layer 0: inputs([(0, 12, 29)]) = avg_activations[(0, 29, 8)]
Intervening at layer 0: inputs([(0, 12, 30)]) = avg_activations[(0, 30, 8)]
Intervening at layer 0: inputs([(0, 12, 31)]) = avg_activations[(0, 31, 8)]
Intervening at layer 1: inputs([(0, 12, 0)]) = avg_activations[(1, 0, 8)]
Intervening at layer 1: inputs([(0, 12, 1)]) = avg_activations[(1, 1, 8)]
Intervening at layer 1: inputs([(0, 12, 2)]) = avg_activations[(1, 2, 8)]
Intervening at layer 1: inputs([(0, 12, 3)]) = avg_activations[(1, 3, 8)]
Intervening at layer 1: inputs([(0, 12, 4)]) = avg_activations[(1, 4, 8)]
Intervening at layer 1: inputs([(0, 12, 5)]) = avg_activations[(1, 5, 8)]
Intervening at layer 1: inputs([(0, 12, 6)]) = avg_activations[(1, 6, 8)]
Intervening at layer 1: inputs([(0, 12, 7)]) = avg_activations[(1, 7, 8)]
Intervening at layer 1: inputs([(0, 12, 8)]) = avg_activations[(1, 8, 8)]
Intervening at layer 1: inputs([(0, 12, 9)]) = avg_activations[(1, 9, 8)]
Intervening at layer 1: inputs([(0, 12, 10)]) = avg_activations[(1, 10, 8)]
Intervening at layer 1: inputs([(0, 12, 11)]) = avg_activations[(1, 11, 8)]
Intervening at layer 1: inputs([(0, 12, 12)]) = avg_activations[(1, 12, 8)]
Intervening at layer 1: inputs([(0, 12, 13)]) = avg_activations[(1, 13, 8)]
Intervening at layer 1: inputs([(0, 12, 14)]) = avg_activations[(1, 14, 8)]
Intervening at layer 1: inputs([(0, 12, 15)]) = avg_activations[(1, 15, 8)]
Intervening at layer 1: inputs([(0, 12, 16)]) = avg_activations[(1, 16, 8)]
Intervening at layer 1: inputs([(0, 12, 17)]) = avg_activations[(1, 17, 8)]
Intervening at layer 1: inputs([(0, 12, 18)]) = avg_activations[(1, 18, 8)]
Intervening at layer 1: inputs([(0, 12, 19)]) = avg_activations[(1, 19, 8)]
Intervening at layer 1: inputs([(0, 12, 20)]) = avg_activations[(1, 20, 8)]
Intervening at layer 1: inputs([(0, 12, 21)]) = avg_activations[(1, 21, 8)]
Intervening at layer 1: inputs([(0, 12, 22)]) = avg_activations[(1, 22, 8)]
Intervening at layer 1: inputs([(0, 12, 23)]) = avg_activations[(1, 23, 8)]
Intervening at layer 1: inputs([(0, 12, 24)]) = avg_activations[(1, 24, 8)]
Intervening at layer 1: inputs([(0, 12, 25)]) = avg_activations[(1, 25, 8)]
Intervening at layer 1: inputs([(0, 12, 26)]) = avg_activations[(1, 26, 8)]
Intervening at layer 1: inputs([(0, 12, 27)]) = avg_activations[(1, 27, 8)]
Intervening at layer 1: inputs([(0, 12, 28)]) = avg_activations[(1, 28, 8)]
Intervening at layer 1: inputs([(0, 12, 29)]) = avg_activations[(1, 29, 8)]
Intervening at layer 1: inputs([(0, 12, 30)]) = avg_activations[(1, 30, 8)]
Intervening at layer 1: inputs([(0, 12, 31)]) = avg_activations[(1, 31, 8)]
Intervening at layer 2: inputs([(0, 12, 0)]) = avg_activations[(2, 0, 8)]
Intervening at layer 2: inputs([(0, 12, 1)]) = avg_activations[(2, 1, 8)]
Intervening at layer 2: inputs([(0, 12, 2)]) = avg_activations[(2, 2, 8)]
Intervening at layer 2: inputs([(0, 12, 3)]) = avg_activations[(2, 3, 8)]
Intervening at layer 2: inputs([(0, 12, 4)]) = avg_activations[(2, 4, 8)]
Intervening at layer 2: inputs([(0, 12, 5)]) = avg_activations[(2, 5, 8)]
Intervening at layer 2: inputs([(0, 12, 6)]) = avg_activations[(2, 6, 8)]
Intervening at layer 2: inputs([(0, 12, 7)]) = avg_activations[(2, 7, 8)]
Intervening at layer 2: inputs([(0, 12, 8)]) = avg_activations[(2, 8, 8)]
Intervening at layer 2: inputs([(0, 12, 9)]) = avg_activations[(2, 9, 8)]
Intervening at layer 2: inputs([(0, 12, 10)]) = avg_activations[(2, 10, 8)]
Intervening at layer 2: inputs([(0, 12, 11)]) = avg_activations[(2, 11, 8)]
Intervening at layer 2: inputs([(0, 12, 12)]) = avg_activations[(2, 12, 8)]
Intervening at layer 2: inputs([(0, 12, 13)]) = avg_activations[(2, 13, 8)]
Intervening at layer 2: inputs([(0, 12, 14)]) = avg_activations[(2, 14, 8)]
Intervening at layer 2: inputs([(0, 12, 15)]) = avg_activations[(2, 15, 8)]
Intervening at layer 2: inputs([(0, 12, 16)]) = avg_activations[(2, 16, 8)]
Intervening at layer 2: inputs([(0, 12, 17)]) = avg_activations[(2, 17, 8)]
Intervening at layer 2: inputs([(0, 12, 18)]) = avg_activations[(2, 18, 8)]
Intervening at layer 2: inputs([(0, 12, 19)]) = avg_activations[(2, 19, 8)]
Intervening at layer 2: inputs([(0, 12, 20)]) = avg_activations[(2, 20, 8)]
Intervening at layer 2: inputs([(0, 12, 21)]) = avg_activations[(2, 21, 8)]
Intervening at layer 2: inputs([(0, 12, 22)]) = avg_activations[(2, 22, 8)]
Intervening at layer 2: inputs([(0, 12, 23)]) = avg_activations[(2, 23, 8)]
Intervening at layer 2: inputs([(0, 12, 24)]) = avg_activations[(2, 24, 8)]
Intervening at layer 2: inputs([(0, 12, 25)]) = avg_activations[(2, 25, 8)]
Intervening at layer 2: inputs([(0, 12, 26)]) = avg_activations[(2, 26, 8)]
Intervening at layer 2: inputs([(0, 12, 27)]) = avg_activations[(2, 27, 8)]
Intervening at layer 2: inputs([(0, 12, 28)]) = avg_activations[(2, 28, 8)]
Intervening at layer 2: inputs([(0, 12, 29)]) = avg_activations[(2, 29, 8)]
Intervening at layer 2: inputs([(0, 12, 30)]) = avg_activations[(2, 30, 8)]
Intervening at layer 2: inputs([(0, 12, 31)]) = avg_activations[(2, 31, 8)]
Intervening at layer 3: inputs([(0, 12, 0)]) = avg_activations[(3, 0, 8)]
Intervening at layer 3: inputs([(0, 12, 1)]) = avg_activations[(3, 1, 8)]
